paper,case.study,old.case.study,new.case.study,efres.division.code,efres.group.code,efres.division,efres.group,efres.class,variable,sign,country,country2,continent,experiment.type,system.type,exper.system,experiment.design,other.fb,taxa,genera,order,origin,size.area,tank.size,water.volume,water.depth,sediment.depth,chlorophyll,nitrogen,phosphorous,carbon,o2,temperature,pH,soft.tissue,dry.weight,weight.g.m2,total.weight,number.fb,density.fb.volume,density.fb.area,length,test,significant,N_effect,X_effect,S_effect,SE_effect,N_ctr,X_ctr,S_ctr,SE_ctr,mul.out,yi,vi
P2522,P2522.10,na,P2522.1,2,2.1,human.inputs,human.inputs,mediation.wastes,Cd.concentration.FB,1,SouthAfrica,SouthAfrica,Africa,Field,River,RiverField,Independent,N,Corbicula.africana,Corbicula,Venerida,native,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2.8,na,na,500,0.216,0.0268,0.006,75,0.36,0.052,0.03,2522.1,0.485181985,0.129566453
P4262,P4262.4,P4262.4.1,P4262.4,1,1.1,organisms,macrofauna.habitat,,Gut.Fullness.Index.(bighead.carp),1,China,China,Asia,Meso,Lake,LakeMeso,Independent,N,Corbicula.fluminea,Corbicula,Venerida,native,na,na,0.1,na,na,na,na,na,na,na,25,na,na,na,260,5.3,30,0.3,60,na,t.test,Y,4,0.13,0,0,3,149.52,52.08,30.07,na,3.819327833,1.45561325
P1715,P1715.1,P1715.1.1,P1715.1,1,1.1,organisms,macrofauna.habitat,,Vallisneria.natans.concentration.system,1,China,China,Asia,Meso,Lake,LakeMeso,Repeated,N,Corbicula.fluminea,Corbicula,Venerida,native,na,na,70,na,0.1,0.03,2.26,0.07,na,na,22.1,na,na,na,580,na,32,0.45,na,na,anova,Y,4,4,0.39,0.19,4,2.37,0.18,0.09,na,4.666664471,1.739181664
P4262,P4262.3,P4262.3.1,P4262.3,1,1.2,organisms,zooplankton,,Zoobento.concentration.system,-1,China,China,Asia,Meso,Lake,LakeMeso,Independent,N,Corbicula.fluminea,Corbicula,Venerida,native,na,na,0.5,na,0.1,0.46,0.13,0.01,na,na,19.6,na,na,na,260,5.3,30,0.06,60,na,anova,Y,4,2.6,1.19,0.6,3,386.76,63.78,36.82,na,-8.017715737,5.005363289
P1714,P1714.2,P1714.2.1,P1714.2,1,1.2,organisms,zooplankton,,Zoobento.concentration.system,-1,China,China,Asia,Meso,Lake,LakeMeso,Repeated,N,Corbicula.fluminea,Corbicula,Venerida,native,na,na,500,0.95,0.1,na,na,0.08,na,na,na,na,na,na,na,2.5,160,0.32,320,3.1,na,na,4,1.41,0.24,0.2,4,1.34,0.3,0.15,na,0.224063966,0.381209625
P3988,P3988.3,P3988.3.1,P3988.3,1,1.2,organisms,zooplankton,,Zooplankton.concentration.system,-1,China,China,Asia,Meso,PlasticTank,PlasticTankMeso,Independent,N,Corbicula.fluminea,Corbicula,Venerida,native,na,0.25,155,na,0.1,0.01,0.59,0.06,na,na,na,na,na,na,na,6.9,5,0.03,167,na,t.test,Y,8,144.36,139.5,11.61,8,2.47,1.46,0.73,3988.3,1.292673962,0.301631277
P1715,P1715.3,P1715.3.2,P1715.3,1,1.3,organisms,algae,,Algae.concentration.system,-1,China,China,Asia,Meso,Lake,LakeMeso,Repeated,N,Corbicula.fluminea,Corbicula,Venerida,native,na,na,70,na,0.1,0.034477,2.263,0.068,na,na,22.1,na,na,na,145,na,8,na,na,na,anova,Y,8,0.483,0.063,0.0315,8,0.344,0.038,0.019,1715.3,-3.681099198,0.818306853
P5123,P5123.3,P5123.3.1,P5123.1,1,1.3,organisms,algae,,Chl.concentration.system,-1,China,China,Asia,Meso,Lake,LakeMeso,Independent,N,Sinanodonta.woodiana,Sinanodonta,Unionida,native,na,na,60,na,na,na,na,na,na,na,34.15,na,na,na,na,54.6,1,1,na,7.8,anova,Y,8,31.14,1.78,0.89,66,38,2,0.8165,5123.1,-14.37554979,2.610356572
P2341,P2341.1,P2341.1.1,P2341.1,1,1.3,organisms,algae,,Chl.concentration.system,-1,RepublicofKorea,RepublicofKorea,Asia,Meso,Lake,LakeMeso,Repeated,N,Several,Several,Unionida,native,na,na,100000,1.5,na,0.2576,na,0.09,na,na,na,na,na,na,na,na,500,na,10,na,na,na,10,242,5.61,2.5089,10,61.8,8.6,3.846,2341.1,-12.15000332,6.936590138
P4262,P4262.2,P4262.2.1,P4262.2,1,1.3,organisms,algae,,Chl.concentration.system,-1,China,China,Asia,Meso,Lake,LakeMeso,Independent,N,Corbicula.fluminea,Corbicula,Venerida,native,na,na,0.5,na,0.1,0.46074,0.13,0.005,na,na,19.6,na,na,na,260,5.3,30,0.06,60,na,anova,Y,8,133.33,30.3,15.15,18,5.97,0.87,0.2246,4262.2,-7.169191023,1.479397429
P2049,P2049.1,P2049.1.1,P2049.1,1,1.3,organisms,algae,,Chl.concentration.system,-1,RepublicofKorea,RepublicofKorea,Asia,Meso,Lake,LakeMeso,Independent,N,Corbicula.leana,Corbicula,Venerida,native,56000,4,6000,2,0.3,0.0772,0.0772,0.0666,na,na,na,na,na,na,na,na,100,0.1667,25,na,na,na,78,31.41,1.54,0.2466,78,45.01,2.32,0.3715,2049.1,-7.132832955,0.939912373
P4389,P4389.2,P4389.2.1,P4389.2,1,1.3,organisms,algae,,Chl.concentration.system,-1,China,China,Asia,Meso,Lake,LakeMeso,Independent,N,Corbicula.fluminea,Corbicula,Venerida,native,na,na,12960,na,na,0.053145,na,0.1895,na,na,19.5,7.85,na,na,4000,na,na,na,na,na,na,na,13,17.57,11.4,3.1618,1,34,0,0,na,1.349234789,1.008846699
P2688,P2688.1,P2688.1.1,P2688.1,1,1.3,organisms,algae,,Chl.concentration.system,-1,China,China,Asia,Meso,Lake,LakeMeso,Repeated,N,Sinanodonta.woodiana,Sinanodonta,Unionida,native,na,na,0.1,0.45,0.1,0.00664,1.95,0.06,na,na,na,na,na,na,na,98.17,5,1,na,na,anova,Y,4,17.297,2.388,1.194,4,36.9,4.274,2.137,na,4.923898851,1.893370577
P1714,P1714.3,P1714.3.1,P1714.3,1,1.3,organisms,algae,,Chl.concentration.system,-1,China,China,Asia,Meso,Lake,LakeMeso,Repeated,N,Corbicula.fluminea,Corbicula,Venerida,native,na,na,500,0.95,0.1,na,na,0.08,na,na,na,na,na,na,na,2.5,160,0.32,320,3.1,na,na,4,3.9,1.3,0.65,4,33.8,1.2,0.6,na,20.78337994,27.37487695
P5208,P5208.2,na,P5208.1,1,1.3,organisms,algae,,Chl.concentration.system,-1,China,China,Asia,Meso,Lake,LakeMeso,Independent,N,Sinanodonta.woodiana,Sinanodonta,Unionida,native,na,0.16,90,0.6,0.15,na,na,na,na,na,na,na,na,14,121.8,na,2,0.02,8.7,na,anova,Y,6,0.0042,0.0031,0.0018,6,0.0719,0.0205,0.0119,5208.1,30.13141264,69.71912659
P1855,P1855.5,na,P1855.1,1,1.3,organisms,algae,,Chl.concentration.system,-1,China,China,Asia,Meso,Lake,LakeMeso,Repeated,N,Sinohyriopsis.cumingii,Sinohyriopsis,Unionida,native,na,na,140,0.75,na,0.1,na,na,na,na,na,na,na,na,na,11,10,0.07,25,5.4,anova,Y,30,3.41,0,0,20,28.85,5.69,4.02,1855.1,0.720731878,0.345736751
P4262,P4262.2,P4262.2.2,P4262.2,1,1.3,organisms,algae,,Phytoplankton.concentration.system,-1,China,China,Asia,Meso,Lake,LakeMeso,Independent,N,Corbicula.fluminea,Corbicula,Venerida,native,na,na,0.5,na,0.1,0.46074,0.13,0.005,na,na,19.6,na,na,na,260,5.3,30,0.06,60,na,anova,Y,4,0.018,0.004,0.002,15,7.93,1.4244,0.3678,na,-5.846817804,1.188555933
P2051,P2051.1,P2051.1.1,P2051.1,1,1.3,organisms,algae,,Algae.filtration.rate.system,1,RepublicofKorea,RepublicofKorea,Asia,Meso,Lake,LakeMeso,Repeated,N,Corbicula.leana,Corbicula,Venerida,native,na,na,10,na,na,0.0029,1.3,0.0069,na,na,13.2,7.5,na,na,na,na,10,1,na,2.25,na,na,20,111,0,0,20,326.7,38.1838,27,2051.1,-2.435731223,3.003785355
P5349,P5349.1,P5349.1,P5349.1,1,1.3,organisms,algae,,Algae.removal.rate.system,1,China,China,Asia,Meso,Lake,LakeMeso,Repeated,N,Corbicula.fluminea,Corbicula,Venerida,native,na,na,20,na,na,na,na,na,na,na,22.5,na,na,na,na,na,na,na,na,na,anova,Y,9,2.5,0.03,0.01,3,6.6278,6.6538,3.8416,na,-1.280424996,0.447010232
P5130,P5130.1,P5130.1.1,P5130.1,1,1.3,organisms,algae,,Chl.concentration.system,-1,China,China,Asia,Lab,na,Lab,Independent,N,Limnoperna.fortunei,Limnoperna,Mytilida,native,na,na,10,0.3,na,0.0023,na,na,na,8.7672,23.9,8.07,na,na,na,0.4,7,3.8,na,15,t.test,Y,3,1.07,0.7448,0.43,4,0.0119,0.0013,0.0007,na,-1.891570098,0.669239846
P2333,P2333.1,P2333.1,P2333.1,1,1.3,organisms,algae,,Chl.concentration.system,-1,RepublicofKorea,RepublicofKorea,Asia,Lab,na,Lab,Repeated,N,Sinanodonta.sp.,Sinanodonta,Unionida,native,na,na,150,na,na,na,na,na,na,na,2.65,na,na,na,na,na,100,0.667,na,6.78,anova,Y,9,3.33,1.26,0.42,9,19.41,9.66,3.22,na,2.223163046,0.338852493
P2154,P2154.2,P2154.2.2,P2154.2,1,1.3,organisms,algae,,Chlorophyll.concentration.system,-1,China,China,Asia,Lab,na,Lab,Independent,N,Corbicula.fluminea,Corbicula,Venerida,native,na,na,7.7,na,0.15,0.075,2.6,0.11,na,na,18.7,na,na,na,na,na,4,0.57,206,na,anova,Y,4,4.7,1.47,0.735,4,3.69,0.14,0.07,na,-0.841124892,0.422290026
